,Sentence_Num,Word,Tag
0,Sentence: 0,i,B-o
1,Sentence: 0,did,I-o
2,Sentence: 0,not,I-o
3,Sentence: 0,meet,L-o
4,Sentence: 0,jin,U-first-name
5,Sentence: 0,hy,U-last-name
6,Sentence: 0,yesterday,B-o
7,Sentence: 0,because,I-o
8,Sentence: 0,i,I-o
9,Sentence: 0,have,L-o
10,Sentence: 0,vomiting,U-symptom
11,Sentence: 0,which,B-o
12,Sentence: 0,might,I-o
13,Sentence: 0,be,I-o
14,Sentence: 0,indicative,I-o
15,Sentence: 0,of,I-o
16,Sentence: 0,covid,L-o
17,Sentence: 1,i,B-o
18,Sentence: 1,had,I-o
19,Sentence: 1,gone,I-o
20,Sentence: 1,to,I-o
21,Sentence: 1,meet,I-o
22,Sentence: 1,my,I-o
23,Sentence: 1,friend,L-o
24,Sentence: 1,on,U-first-name
25,Sentence: 1,yip,U-last-name
26,Sentence: 2,have,B-o
27,Sentence: 2,you,I-o
28,Sentence: 2,contacted,I-o
29,Sentence: 2,any,I-o
30,Sentence: 2,doctor,I-o
31,Sentence: 2,regarding,I-o
32,Sentence: 2,your,L-o
33,Sentence: 2,loss,B-symptom
34,Sentence: 2,of,I-symptom
35,Sentence: 2,taste,L-symptom
36,Sentence: 3,yes,B-o
37,Sentence: 3,i,I-o
38,Sentence: 3,think,I-o
39,Sentence: 3,my,L-o
40,Sentence: 3,conjunctivitis,U-symptom
41,Sentence: 3,is,B-o
42,Sentence: 3,quite,I-o
43,Sentence: 3,severe,L-o
44,Sentence: 4,i,B-o
45,Sentence: 4,think,I-o
46,Sentence: 4,i,I-o
47,Sentence: 4,should,I-o
48,Sentence: 4,get,I-o
49,Sentence: 4,a,I-o
50,Sentence: 4,covid,I-o
51,Sentence: 4,test,I-o
52,Sentence: 4,done,I-o
53,Sentence: 4,because,I-o
54,Sentence: 4,i,I-o
55,Sentence: 4,have,I-o
56,Sentence: 4,a,L-o
57,Sentence: 4,cough,U-symptom
58,Sentence: 4,and,U-o
59,Sentence: 4,dry,B-symptom
60,Sentence: 4,cough,L-symptom
61,Sentence: 5,since,B-o
62,Sentence: 5,when,I-o
63,Sentence: 5,do,I-o
64,Sentence: 5,you,I-o
65,Sentence: 5,have,L-o
66,Sentence: 5,discolouration,B-symptom
67,Sentence: 5,of,I-symptom
68,Sentence: 5,fingers,L-symptom
69,Sentence: 6,i,B-o
70,Sentence: 6,have,I-o
71,Sentence: 6,developed,L-o
72,Sentence: 6,congestion,U-symptom
73,Sentence: 7,i,B-o
74,Sentence: 7,developed,L-o
75,Sentence: 7,fatigue,U-symptom
76,Sentence: 7,for,B-o
77,Sentence: 7,the,I-o
78,Sentence: 7,past,I-o
79,Sentence: 7,few,I-o
80,Sentence: 7,days,L-o
81,Sentence: 8,i,B-o
82,Sentence: 8,had,I-o
83,Sentence: 8,gone,I-o
84,Sentence: 8,to,I-o
85,Sentence: 8,meet,I-o
86,Sentence: 8,my,I-o
87,Sentence: 8,friend,L-o
88,Sentence: 8,gao,U-first-name
89,Sentence: 8,ping,U-last-name
90,Sentence: 9,have,B-o
91,Sentence: 9,you,I-o
92,Sentence: 9,had,L-o
93,Sentence: 9,loss,B-symptom
94,Sentence: 9,of,I-symptom
95,Sentence: 9,smell,L-symptom
96,Sentence: 9,and,U-o
97,Sentence: 9,sore,B-symptom
98,Sentence: 9,throat,L-symptom
99,Sentence: 10,i,B-o
100,Sentence: 10,did,I-o
101,Sentence: 10,not,I-o
102,Sentence: 10,meet,L-o
103,Sentence: 10,hsin,U-first-name
104,Sentence: 10,bo,U-last-name
105,Sentence: 10,yesterday,B-o
106,Sentence: 10,because,I-o
107,Sentence: 10,i,I-o
108,Sentence: 10,have,L-o
109,Sentence: 10,loss,B-symptom
110,Sentence: 10,of,I-symptom
111,Sentence: 10,movement,L-symptom
112,Sentence: 10,which,B-o
113,Sentence: 10,might,I-o
114,Sentence: 10,be,I-o
115,Sentence: 10,indicative,I-o
116,Sentence: 10,of,I-o
117,Sentence: 10,covid,L-o
118,Sentence: 11,i,B-o
119,Sentence: 11,developed,L-o
120,Sentence: 11,shortness,B-symptom
121,Sentence: 11,of,I-symptom
122,Sentence: 11,breath,L-symptom
123,Sentence: 12,since,U-o
124,Sentence: 12,yesterday,U-timeframe
125,Sentence: 12,i've,B-o
126,Sentence: 12,been,I-o
127,Sentence: 12,down,I-o
128,Sentence: 12,with,L-o
129,Sentence: 12,cough,U-symptom
130,Sentence: 13,yes,B-o
131,Sentence: 13,i,I-o
132,Sentence: 13,think,I-o
133,Sentence: 13,my,L-o
134,Sentence: 13,skin,B-symptom
135,Sentence: 13,rash,L-symptom
136,Sentence: 13,is,B-o
137,Sentence: 13,quite,I-o
138,Sentence: 13,severe,L-o
139,Sentence: 14,i,B-o
140,Sentence: 14,had,I-o
141,Sentence: 14,gone,I-o
142,Sentence: 14,to,I-o
143,Sentence: 14,meet,I-o
144,Sentence: 14,my,I-o
145,Sentence: 14,friend,L-o
146,Sentence: 14,lao-tzu,U-first-name
147,Sentence: 14,ren,U-last-name
148,Sentence: 15,i,B-o
149,Sentence: 15,am,I-o
150,Sentence: 15,feeling,I-o
151,Sentence: 15,sick,I-o
152,Sentence: 15,because,I-o
153,Sentence: 15,of,L-o
154,Sentence: 15,chills,U-symptom
155,Sentence: 15,since,U-o
156,Sentence: 15,yesterday,U-timeframe
157,Sentence: 16,yes,B-o
158,Sentence: 16,i,I-o
159,Sentence: 16,think,I-o
160,Sentence: 16,i,I-o
161,Sentence: 16,have,I-o
162,Sentence: 16,severe,L-o
163,Sentence: 16,loss,B-symptom
164,Sentence: 16,of,I-symptom
165,Sentence: 16,taste,L-symptom
166,Sentence: 17,have,B-o
167,Sentence: 17,you,I-o
168,Sentence: 17,had,L-o
169,Sentence: 17,vomiting,U-symptom
170,Sentence: 17,or,U-o
171,Sentence: 17,muscle,B-symptom
172,Sentence: 17,ache,L-symptom
173,Sentence: 17,since,U-o
174,Sentence: 17,last,B-timeframe
175,Sentence: 17,month,L-timeframe
176,Sentence: 18,i,B-o
177,Sentence: 18,have,I-o
178,Sentence: 18,been,I-o
179,Sentence: 18,having,L-o
180,Sentence: 18,chest,B-symptom
181,Sentence: 18,pressure,L-symptom
182,Sentence: 18,and,B-o
183,Sentence: 18,i,I-o
184,Sentence: 18,think,I-o
185,Sentence: 18,i,I-o
186,Sentence: 18,might,I-o
187,Sentence: 18,have,I-o
188,Sentence: 18,covid,L-o
189,Sentence: 19,how,B-o
190,Sentence: 19,long,I-o
191,Sentence: 19,have,I-o
192,Sentence: 19,you,I-o
193,Sentence: 19,been,I-o
194,Sentence: 19,suffering,I-o
195,Sentence: 19,from,L-o
196,Sentence: 19,loss,B-symptom
197,Sentence: 19,of,I-symptom
198,Sentence: 19,movement,L-symptom
199,Sentence: 19,and,U-o
200,Sentence: 19,tiredness,U-symptom
201,Sentence: 20,since,B-o
202,Sentence: 20,when,I-o
203,Sentence: 20,do,I-o
204,Sentence: 20,you,I-o
205,Sentence: 20,have,L-o
206,Sentence: 20,tiredness,U-symptom
207,Sentence: 20,and,U-o
208,Sentence: 20,fatigue,U-symptom
209,Sentence: 21,hey,U-exclamation
210,Sentence: 21,can,B-o
211,Sentence: 21,you,I-o
212,Sentence: 21,recommend,I-o
213,Sentence: 21,me,I-o
214,Sentence: 21,a,I-o
215,Sentence: 21,good,I-o
216,Sentence: 21,"doctor,",I-o
217,Sentence: 21,i,I-o
218,Sentence: 21,have,L-o
219,Sentence: 21,shortness,B-symptom
220,Sentence: 21,of,I-symptom
221,Sentence: 21,breath,L-symptom
222,Sentence: 21,and,B-o
223,Sentence: 21,think,I-o
224,Sentence: 21,that,I-o
225,Sentence: 21,i,I-o
226,Sentence: 21,might,I-o
227,Sentence: 21,have,I-o
228,Sentence: 21,covid,L-o
229,Sentence: 22,i,B-o
230,Sentence: 22,am,I-o
231,Sentence: 22,feeling,I-o
232,Sentence: 22,sick,I-o
233,Sentence: 22,because,I-o
234,Sentence: 22,of,L-o
235,Sentence: 22,conjunctivitis,U-symptom
236,Sentence: 22,and,B-o
237,Sentence: 22,i,I-o
238,Sentence: 22,think,I-o
239,Sentence: 22,i,I-o
240,Sentence: 22,might,I-o
241,Sentence: 22,have,I-o
242,Sentence: 22,covid,L-o
243,Sentence: 23,hey,U-exclamation
244,Sentence: 23,can,B-o
245,Sentence: 23,you,I-o
246,Sentence: 23,recommend,I-o
247,Sentence: 23,me,I-o
248,Sentence: 23,a,I-o
249,Sentence: 23,good,I-o
250,Sentence: 23,"doctor,",I-o
251,Sentence: 23,i,I-o
252,Sentence: 23,have,L-o
253,Sentence: 23,conjunctivitis,U-symptom
254,Sentence: 23,and,B-o
255,Sentence: 23,think,I-o
256,Sentence: 23,that,I-o
257,Sentence: 23,i,I-o
258,Sentence: 23,might,I-o
259,Sentence: 23,have,I-o
260,Sentence: 23,covid,L-o
261,Sentence: 24,i,B-o
